GODINA,IZNOS
1995,22387561849.4125
1996,23678012697.4813
1997,23822087054.1796
1998,25432144399.6238
1999,23386945602.7976
2000,21774273831.5586
2001,23289671100.5932
2002,26868450814.9263
2003,34667270715.9072
2004,41523418157.6131
2005,45347181466.3022
2006,50375095636.2372
2007,60093896109.0123
2008,70474602563.8396
2009,62754161039.069
2010,59844207748.9473
2011,62404149309.6847
2012,56548374546.3441
2013,58147688052.2904
2014,57671307486.8132
2015,49490142433.1046
2016,51640880494.2725
2017,55213087270.6341

